teks_bersih,sentimen
apknya berat sekali buka tidak mau muncul susah tidak tau orang buru,Negatif
uang hilang total,Negatif
mau buka keluar terus tidak di buka buruk ni aplikasi,Negatif
sangat baik,Netral
dana sih suruh upgrade premium malah lihat cuma layar putih doang pas udh tekan,Netral
sering jadi ganggu mau tarik tunai apa susah sekali akhir akhir padahal dulu bagus kyaknya perlu diup grade,Netral
buruk mau transfer bank tidak mau kirim e wallet tidak sistem nya bobrok,Netral
tetap tidak cek riwayat transaksi semua laku bantu ana tidak semua nya tetap loading gimana aplikasi dana,Netral
aplikasi nya sering tidak ke buka masuk logo mulu,Netral
sangat lambat,Negatif
tidak di buka aplikasi dana nya,Netral
kok tidak bsa d bka dana mentok dana trs kluar lg tolng bnrin dulu pihak dana,Positif
limit dana cicil ada waktu tagih ikut lama tapi tidak pinjam belum masih bisa,Netral
dana nya enggak buka,Netral
sudah daftar premium tp kok tetep tidak kirim uang yaa,Positif
masa isi ulang dri brimo jadi ny kata tugas rp,Positif
mau bayar tagih dana cicil tapi gabisa masuk nomernya udh tidak aktif gimana solusi,Netral
sangat sayang dana instan tidak muncul dana makanya kasih rating bintang,Netral
suka keluar sendiri,Positif
buruk sih nyimpen uang sini malah hilang ambil goggle udh gaada pemberitahuan nya langsung ilang gitu aja gabisa balikin buruk sih padahal udh lama pake aplikasi makin kesini malah makin lemah aman nya,Negatif
buka dana koneksi internet tidak stabil padahal jaring kuat,Netral
dana tidak buka stok di logo dana aja,Positif
ko tidak buka malah stuk logo di hapus dulu baru pas masuk malah stuk di logo terus,Netral
ngelag mulu,Netral
aplikasi e wallet paling tolol pernah install sampe erosi ngladeni ana tiap hari minggu sibuk mindahin akun premium nomor lama nomor baru tapi layan tidak bantu,Negatif
aman buruk vernuk sering gagal koneksi buruk,Negatif
jangan pernah nyicil emas dana geys jumlah emas tiba tiba kurang padah tidak laku jual,Netral
sangat buruk kelas dana bisa colong sma hacking mau hapus aja lah males pd uang trus ilang,Negatif
ngak jelas masa transfer sampe hari selalu proses,Netral
woiiii danaaa minimal kalau update bener masih bawah umur tapi buat beli kouta harus diupdate premium sih tidak gagal langsung kerja min,Negatif
salah transfer malah no belum daftar dana tpi sana tulis kalau jam uang udh tunggu lama jam udh hubung ana udh email tp gaada kembali,Netral
stuck logo terus mau buka,Netral
kasih bintang aja lumayan buat simpan cadang m banking mula kurang apa saya nyimpan dana atas jt tidak jamin karna kawan kurang saldo jaring bagus kalau cek uang kalau tidak bagus muncul bawah warna merah tulis koneksi putus paket banyak tp koneksi wifi hilang tanda merah,Netral
makin buruk dana sekarang masak otp email mana email tidak kepake lama dulu otp pake sms nomor hubung enak makin ribet aja ni ewalet ampun nyata banyak coment negatif benar dah untung tidak isi dana tidak pake dana lah rame makin ulah dah gua hapus aja ni ewalet makin buruk kayak tidak ovo makin rame makin bagus custemernya,Netral
kok tidak buka aplikasi padahal diupdate tapi tetap tidak buka buka lagi loadingnya lambat mohon bantu,Netral
kalau mau hubung akun mbok konfirmasi dulu sama milik jangan asal main potong uang otomatis gitu kan rugi,Netral
buruk dana cicil lunas tidak pakai,Negatif
dana tidak buka coba kali kali,Netral
tidak masuk padahal kemarin ini dah mggu lebih tidak di buka,Netral
layan nya buruk,Negatif
sekarang aplikasi nya jadi tambah lambat tidak bsa buka sya udh bbrpa x uninstal di baik lagiii,Negatif
otp nya tidak kirim padahl nomor nya bener,Netral
pas buka aplikasi lama padahal wifi maksimal tidak macet pas buka dana lambat buka,Negatif
dana sangat tidak guna sudah aju dana cicil tapi aja tidak sedia,Positif
februari beli diamond mobile legend eror mulu tidak beli beberapa fitur banyak eror,Netral
buka dana cicil muncul malah dana buat apa tidak guna,Netral
aplikasi buruk buruk buruk parahhhhhhh,Negatif
aplikasi dana sering kali g d buka,Netral
min kan mau ganti no hp tapi kok kaya sulit gitu entah harus verifikasi verifikasi notif ups kendala proses terus kenapa min,Netral
pakai kuota indosat selalu tulis sedang offline padahal kuota ada kenapa cuma pakai kuota indosat baik,Netral
kok tidak di buka aplikasi makin kesini buruk kali aplikasi kelen,Netral
ndak buka,Netral
tidak masuk dana perlu otp kartu hilang makin sini dana makin ribet,Negatif
eror,Netral
aplikasi sangat bagus saja iklan sangat ganggu nyaman,Positif
min kenapa dana tidak buka coba segala cara tetep aja tidak masuk mentok logo dana,Positif
makin kesini lama lama apknya lemott payah,Negatif
aplikasi dana bnyk ngeleg gin mau log in susah buka aplikasi jadi salah apa an aplikasi dana makin buruk,Negatif
mohon maaf ini dana nya tidak buka kalau tiap di buka selalu sendiri di update masih sama,Netral
uang sering hilang,Negatif
dana cicil nya tidak bsa gunakn,Netral
dana eror di menu listrik dn pulsa kok enggk di buka,Positif
cicil masuk akun dana tiap uang masuk lgsung otomatis potong padahal bukan cicil kontrak digital buat olah dari dana sudah layan email tp tanggap uang potong tidak di kembali skg msh ada sisa cicil tagih akun dana jg tidak saya hapus sangat tidak rekomendasi sila pakai aplikasi nya,Netral
karna nomer hp tidak gagara ilang tapi pasword apal jadi tidak log in hadehh suruh ganti kartu pihak layan dana tapi tidak jadi jadi,Netral
saya mau ngirim uang kok tidak tidak kayak biasa,Positif
tidak masuk stak lingkar beberapa kali hapus instal tapi tetap tidak masuk,Netral
nda masuk langsung henti belum buka,Netral
suka rusak bayar gagal terus server nya down,Negatif
layan nya hubungin ngerespons bijak,Netral
dana selalu tidak di buka uninstal dulu baru instal baru buka,Netral
aplikasi tidak jelas makin kesini malah makin bentek cuma ngabisin kuota buat update tapi di update buat masuk mental trus,Netral
maaf baru guna dana jadi sayakasi bintang dulu,Netral
tidak buka aktivitas dana saran,Netral
dana cicil guang dong aktif tapi limit nol tidak di pakai ganti vendor lg parahhh,Negatif
kurang bagus aplikasi dana,Positif
kasih bintang saya transfer semalem bri smpe sekarang belum masuk kasih jelas,Netral
knpa skrang dana sring loding susah buat buka buruk,Negatif
aplikasi sangat lambat lama,Negatif
pakai dana tahun baru akhir tahun tahun sering alami hilang di akun dana ku padahal tidak pernah laku bayar apa tapi selalu notifikasi bayar lalu qris padahal tidak perna sudah laku lapor dana tapi sekarang uang ku belum jelas sama sekali,Negatif
suka mentok logo,Positif
saat mau laku transaksi gabisa pake wifi pake paket data solusi gimana biar pake wifi,Netral
ndak bikin pusing,Netral
aplikasi dana tidak buka di bantu,Netral
rusak tidak jelas tiba tiba transfer sendiri laku transaksi apa tidak buka hp tiba tiba transfer bukalapak aneh bet ni dana lama lama ratingnya buruk tidak bagus tidak becus layan nya,Negatif
jangan pake ni aplikasi akun masalah minta bantu sulit ujung ujung tidak bantu,Negatif
lumayan,Netral
aplikasi tidak jelas uang tidak masuk udh chat ana malah bales bot cuma buang waktu doang ini ojk gimana dah uang memang tidak berapa tapi percaya nyaman di nyata dulu enak chat layan bales orng banyak update gin,Positif
bagus skli,Positif
aplikasi nya banyak rusak,Negatif
buruk buruk banget padahal mau ganti nomor hp lama buat akun dana tapi tidak bad aplikasi,Negatif
update fitur rekan dana jadi tidak guna selalu notif sistem sedang sibuk,Netral
beri bintang dulu soal buka gampang lambat tingkat,Negatif
jaring eror mulu metode bayar dana axis tidak,Netral
baru download udh suruh premium aja gua kan mau kirim duit mlh suruh premium,Netral
banyak fitur gabisa akses terlalu belit belit layan buruk,Negatif
sulit buka sering nge freez,Netral
bayar pln lapor gagal uang kurang tagih pln ada bikin lapor pusat bantu ada bikin buruk pusat bantu tidak ngerti ngerti,Negatif
akun dana tidak buka ini apa bagaimana uang mohon di jawab segera butuh uang yang di akun dana saya,Netral
gima solusi aplikasi dana kok tidak buka solusi dong,Positif
buruk masa masuk pake kode otp mulu pdahal nomr tidak aktip biasa pake pin vermuk aja masuk masa sekarang update tidak bis masuk tetep pake kode otp mna ada saldo dana lah pihak dana saya bisa masuk biasa harus nungggu kode otp tolong baik sistem nya seperti kemaren mudah nomr yng tidak aktip masuk,Netral
dev beri solusi akan ganti jadi bintang jadi kan mau bagus up game free fire tapi harga k dana k tapi rusak lebih limit uang tidak cukup hari hari saya coba solusi youtube ai tapi tetap tidak gimana ini mohon di update,Netral
entah dana cicil tidak muncul padahal sering isi transfer,Netral
dengan dana tiap masuk selalu mental g buka,Netral
masa brimo transfer tidak masuk uang kali,Netral
sering jadi dana sedot tiba tiba buat langgan padahal aplikasi langgan tidak pakai diuninstall kenapa sedot sendiri uang bikin jengkel,Netral
di update aktivitas tidak buka bejir riwayat transfer cuma lihat lewat pesan pun tidak lihat no tuju transfer,Netral
aplikasi dana tidak buka hapus install hapus install sama td buka lapor tidak tanggap,Netral
loading nya terlalu lama kalau hp ram,Netral
ihh kenapa gabisa transfer sihh mau bagus up game notif eror terusss,Positif
gimana sih aplikasi lambat mau buka fitur bayar susah banget,Negatif
tidak buka di buka layar gelap,Netral
banyak tipu aku pihak dana kena tidak kembali saldo jadi sesal nyimpan dana tiba tiba transaksi bukan saya yang transaksi,Negatif
paaaarrraahh banget yang bobol dana tidak tau gmna kok bobol tiba bayar pulsa padahal aq tidak beli pulsa trus tagih lazada mana hubungin customer service nya tidak tolong dong gmna cara biar solusi,Positif
bintang dlu tdnya bgus aplikasi dna tp sekarang buruk hrus trus d update agk buruk,Negatif
parahh masa uang dana ku kurang balik uang ku hilang,Negatif
lah,Netral
mahon koreksi dana tidak pernah laku transaksi apa tapi uang sedot gimana kok kayak tidak padahal dana buat nyimpen uang malah ngabisin uang ada transaksi apa,Positif
transaksi puluh juta tapi tidak dan instan,Netral
buka aplikasi dana selalu tulis internet kamu putus,Netral
dans cicil belum di guna padahal lunas lebih hari malah bulan,Netral
asli buruk uang dana hilang curi akun dana retas mulai pin email udh ubah semua,Negatif
sulit guna tidak masuk tidak tau gimana cara nya jelas plis pas masuk jangan minta pin sulit banget,Netral
kali dana keliru gua jelas jelas beli paket gb mlah kasih cuma gb mana harga an,Netral
bagus ap ribu pas cek malah masuk ribu,Positif
tidak di buka,Netral
qris dana bisnis tidak unduh klik unduh qris selalu bawa atur sistem lapor layan aplikasi x instagram tapi tidak solusi jawab muas keluh selalu balas template guna ai,Netral
layan sampah minimal ngasih refund kalau org salah isi nomor,Negatif
dana tidak di buka,Netral
ya lali buka lambat kembali layar awal,Negatif
ni dana update napa malah jadi banyak rusak dh saya mau masuk malah stuk terus logo gabisa cek uang la solusiny udh hapus cache restart hp tetep aja gimana ni,Negatif
sudah sering transaksi tpi fitur dana cicil tidak sudah update tetap tidak fitur dana cicil nya,Netral
halo tugas jawab nya dana hp tidak mau buka saya buka aplikasi nya mental beranda mohon bantu nya,Netral
beli tnpa tuju di batalkn tp duit nya gablik kok gtu,Positif
akhir tyap kali buka aplikasi tidak masuk menu stuck tampil situ ajj yah cm logo biru doang lama kluar notif dana henti,Netral
dana rusak masa bagus up tadi tidak masuk masuk mana penting rugi deh uang keluar tapi uang tidak masuk huhhh,Negatif
lupa pin jadi solusi coba kali kali verifikasi sudah arah lewat whatsapp semua tidak kerja baik malah refreshing sudah pusing cari solusi karena akun dana nomor aktif sudah coba buat masuk kali kali cara yang sama tetap tidak tambah sudah lupa pin lalu dengan saya pencet lupa pin tetap tidak bisa jadi solusi sayahrapandadmsya,Netral
jangan mau isi pulsa aplikasi isi rb kagak masuk,Netral
dana kena hack aman akun kurang jamin uang kena juta,Positif
haloo dana yang punya akun milik asli akun masuk pin transfer saya valid malah bilang tipu jelas lindung tipu yang asli bilang tipu jahat banget lu,Netral
dulu saran buat akun tapi kalau mau masuk perlu banyak autentikasi bilang salah ganti pin,Netral
jangan mendownload aplikasi karena uang kamu suka tiba tiba hilang alas langgan padahal tidak mencet sama sekali aju refund malah salah google sangat tidak aman,Positif
kok repot sih dapat dana instan,Positif
dana cicil tidak muncul,Netral
mau nanya ni kalau nomor daftar hilang lalu kode verifikasi wajah benar knpa minta kode verifikasi nomor daftar kartu sudah hilang,Negatif
aplikasi apa ni verifikasi wajah gabisa terus,Netral
info cara masuk tidak minta otp karna kartu dana hp daftar tidak lagi mohon solusi nya solusi nya,Netral
dana buruk buruk sekarang di update tidak masuk buruk,Negatif
dana tidak buka mentok di logo dana sama sekali tidak buka hari seperti,Positif
aplikasi dana gimana sih masa upgrade dan jadi premium kata tunggu hari tapi saya tunggu bukan hari nama bulan sampe sekarang belum proses kalau baik akun saya saya edit bintang,Positif
uang rb angus transfer paypal dana gagal padahal biaya pihak paypal nya mereka balikin tpi dri pihak dana malah ambil rb dah transfer gagal aneh org konoha,Negatif
aplikasi bangsattt loading teroossss bodoamat cicil dana tidak bakal gua bayar,Netral
cek bukti bayar tidak buka aktifitas nya loading mutar aja terus,Netral
kenapa tidak masuk aplikasi dana kick mulu pas loading scren,Netral
tidak recommend transaksi aplikasi dana karna banyak transaksi otomatis begitu lah buruk nya sistem aplikasi dana,Negatif
saya laku transaksi dana tidak masuk aplikasi nya saya uninstall trs download,Netral
buruk bnget sama e walet sekarang masa fitur dana cicil nya cuma di guna kali padahal lama laku lunas hampir satu tahun lalu tapi malah lunas fiturnya tidak di guna limit tapi tidak di pakai benar aneh nama penting buat sendiri,Netral
aplikasi semenjak d baru bulak balik tidak d buka dong saran mana uang d situ semua,Netral
aplikasi gajelas tbtb payment sendiri,Netral
uninstall baru di kirim kode otp nya lambat kali kerja kalian,Negatif
makin baru makin buruk perfomanya tidak buka aplikasi kadang malah keluar sendiri pusing banget,Negatif
sekarang dana kok rusak mau masuk susah di baru terus tiap mau masuk,Negatif
saya transfer tapi tidak masuk uang transfer malam tapi tidak,Netral
bulan sering instal hapus aplikasi nya tiap hr sekali gbisa buka aplikasi nya hapus dulu baru instal ulang terus dam terus apa g asyik nih aplikasi nya mohon tanggap nya,Netral
hallo kak maaf mau tanya aplikasi dana tidak buka cuma halaman depan aja terus keluar sendiri,Positif
yang dua kali nya bagus up brizzi dana uang hilang saja padahal status bayar sukses hasil tapi nyata uang brizzi tidak tambah satu rupiah akhir bagus up ribu tgl feb sampai sekarang uang tidak kembali chat lalu ana tugas aplikasi dana tapi tidak ada pemberitahuan kembang progress kembali dana saya,Netral
buruk masa tidak ajuin dana cicil,Negatif
apaaan aplikasi rusak gajelasss gabisa kirim uang gara rusak,Negatif
kurang ajar aplikasi pakai tahun lbih tdak tambah bagus malah bkin emosi mau masuk susah sekali selalu tidak tanggap kalau masuk,Netral
punya eror terus,Netral
delay lama transaksi x tidak bca tidak dana,Netral
padahal update tapi fitur dana instan nya tidak,Netral
update jadi sering rusak,Negatif
tolng bantu kpda pihak dana sulit buk karna karti saya sudh tidak aktp,Netral
gimana uang ku ilang k ilang aja,Netral
dana rusak sering keluar sendiri akses aplikasi lama kali coba masuk itu loading masuk nya luama hadeeeh terimakasih,Negatif
verif via wa tidak,Netral
dong fitur dana cicil di munculin orang pada muncul tidak muncul,Netral
kurang ajar banget hidup susah uang dana tip malah aplikasi bisa akses kalok emang lag kasih pemberitahuan dong duit bisa tarik mau makan pakek apa kasih solusi bener pakek tahun awal neng aplikasi bantu makin lama makin makek nih aplikasi benerin aplikasi kalok bener blokir aja nyusahin akhir sudah di percaya endingnya malah bikin ribet,Netral
apa coba tidak tranfer,Netral
nyesal banget pakai dana isi ulang brizi lumayan la nominal nya tapi tidak masuk padahal status nya hasil tapi uang nya tidak masuk kartu tidak update lapor layan dana tidak tanggap sampe sekarang minggu lebih benar benar lepas tangan buruk banget pokok minimal kasih jelas allah ngomong jujur harap selesai pihak dana minimal jelas,Positif
kenapa habis update malah tidak di buk aplikasi nya,Netral
dana tolak bayar ingin bayar pazu avatar world,Netral
skrg dana lambat mau masuk aja susah banget masa uinstall trus,Negatif
buruk layan komplen kena transfer belum masuk costamer belit ribet tapi belum di proses,Negatif
min kok tidak masuk hp gua kentang,Positif
kasih bintang kalau transfer lain potong nya najis bngt kalau transfer gopay ke dana kena potong hadehhh bae bae dahh lu dana,Negatif
selalu kendala jaring padahal internet lancar tapi aplikasi tidak merespon mau cair uwang jadi kendala,Netral
aplikasi sampah tidak buka sama sekali stuck situ mulu kalau bintang kasih bintang,Negatif
masa karna ekt ke pakai tidak di guna,Netral
ribet,Netral
lama buka nya ngebosanin nunggu seperti tolong lah,Netral
aplikasi dana sekarang sering rusak loading mulu padahal pakai wi fi tidak tempat adu aplikasi nya jadi pusing pake dana buka aolikasinya lama,Negatif
tidak percaya sama dana uang gua hbiss sedot di bajak,Netral
ya uang sering banget hilang dana,Negatif
telah update malah banyak masalah forced close mulu,Negatif
akun baru buat transfer akun lama tpi saat pnransferan akun sllu gagal padahal ktp di serta bukan sistem otomatis devloper eh malah di suruh bolak balik akun lama udh tau tidak aplikasi dompet makin tidak bagus,Netral
dana tidak buka tiap mau buka dana keluar itu ya eror gimna aplikasi,Netral
sii uang dana disimpen lama belum ambil suka hilang sendiri padahal tidak transaksi apa aktifitas jg gaada apa transaksi baik dana uang suka hilang,Netral
saat masuk aplikasi pertama tidak sedialan fitur kunci pin klik aplikasi langsung masuk beranda dana kalau bgitu smua orng kalau yang pinjem hp bsa akses dong bsa buka dana nya karna tidak tmbahi security,Positif
developer kalau ningkatin program aplikasi bener sedikit masa tiap mau transaksi uang rusak rusak lain,Negatif
masukkin pin bener tidak,Netral
bagaimana ko begini uang ko gabisa pakai aplikasi macam apa malu maluin tau tidak,Netral
minta baik dana ku knpa saja tidak hubung internet padahal bagus jaring,Positif
si suruh upgrade mau bayar jadi gabisa aps,Netral
bagus dana cicil tapi tidak masuk aplikasi no hp kartu hilang jadi gabisa masuk coba minta bantu sama ana malah tanggap tidak jelas jadi yaudah jangan salah kalau cicil tidak di bayar,Netral
sekarang susah buat buka aplikasi dana sering lgi,Negatif
apa sih ni aplikasi jadi tidak jelas kemaren mau buka tidak terus update clear up di update tteh tidak itu di dana ada uang loh,Netral
punya dana cicil tidak pakai alas nya fitur cicil lah lahh apa aplikasi nya,Netral
eror kemarin belum selesai,Netral
apa apa lu nyimpen uang tiba tiba ngurang gin aplikasi apaa iniii mending band,Netral
knapa yahh akun dana susah buka unistal dulu baru kembali,Negatif
sayang tidak fitur dana cicil kalau fitur dana cicil kasih bintang,Netral
aplikasi busuk uang gua ra ip k transaksi beli pulsa tahu chat malah nunggu hari sekarang udh hari tidak ada jelas baik nya lapor aplikasi ke ojk bisa lebih tanggung jawab,Netral
wajib upgrade premium baru pakai jangan coba bagus up kalau belum upgrade premium uang bakal hangus aplikasi tidak rekomendasi,Positif
tidak pindah akun,Netral
stuk logo dana,Netral
tidak buat beli token listrik,Positif
mau bagus up ml web nya rusak tidak ke buka,Netral
buat mau gunain ni aplikasi saran mending jangan karna sistem aman nya kurang baik mending alih aja ovo dana sudah hilang uang mudah bngt bobol,Positif
punya lama sekali muncul fitur dana cicil,Netral
aplikasi bleng,Netral
gimana cara screenshoot kalau aplikasi aja tidak buka stop pake aplikasi saya pindah seabank blu gopay lebih stabil seperti bos dana cuma target pasar gadget canggih sinyal internet stabil bukan gadget kentang sinyal yang byarpet tidak ramah orang kecil,Positif
apa aplikasi udh buat lapor tidak resin ngirim uang gabisa alas aman aman aplikasi tidak bener hari hari ngirim uang gabisa uang tahan aplikasi,Positif
dana cicil tidak muncul l,Netral
mau daftar tapi pin selalu salah saya coba mengunakan wajah tapi tetap tidak kenapa,Netral
bagaimana aman aplikasi dana tidak becus banget uang ilang ratus ribu ambil orang aman nya sangat taiii,Positif
kasih jelas pendek tapi jelas ngak bayar padahal nunggu bulan,Netral
dana makin kesini makin sulit makin tidak jelas susah bnget buka saat mau gunain awal yaa bagus cepat makin kesini semakkin suit udh guain dong baik soal sanngat bergunaa orng yk tidak pnya rekening,Positif
dana cicil lunas malah gabisa dipake gajelas lama hubung ana tapi tidak solusi,Netral
buat aplikasi dana versi lite nya dongg kalau gin gin aja bosen,Netral
buruk banget uang transaksi isi e money gagal uang nya tidak balik akun dana proses lapor nya repot tidak kelar kelar susah nyambung ke customer carenya serasa sulit,Negatif
baik,Netral
kok susah bika,Netral
mohon dana di tingkat buat semua hadiah koin masuk di perbanyakin biar pake dana rasa nyaman enak tidak pindah aplikasi lain,Positif
bukan tambah bagus update malah tambah banyak rusak kirim uang tidak tekan apa menu plslah benerin,Netral
tidak buat transfer suruh upgrade premium tp suruh nunggu menit trs padahal lebih bln uang jd nyantol,Netral
bagus,Positif
buruk habis update malah banyak rusa,Negatif
dong segera baik kait dana cicil lalu pt indonesia airawata finance sudah lunas lebih awal janji cek aplikasi cermat ada status pinjam aktif hey sudah melunaskanya jangan bikin buruk data segera perbaikin status pinjam aktif saya,Netral
dana mentok logo trus woi pdhl udh lakuin bagai cara ttp aja mau buka dana uninstal dulu daftar lgi coba bnerin dong cba,Positif
fitur tidak muncul upgrade,Netral
buruk sekali,Negatif
tanggap nya sangat lama tiap keluh saya aju evaluasi,Netral
aplikasi dana rawan maling uang tiba potong atas transaksi tidak pernah laku minta refund tetap tidak aplikasi tidak di percaya simpan uang kalau memang tidak di refund pilih refund chat adminnya dana benah jangan ada maling uang lebih tanggung jawab jangan asal potong uang orang sembarang,Negatif
dana skrng sering eror ya download terus,Netral
apknya sering keluar diri tidak kaya dulu lancar,Positif
halaman aktivitas tidak buka jadi tidak lihat riwayat transaksi,Positif
lambat tidak masuk akun nya,Negatif
mau hapus akun dana,Netral
punya limit dana cicil tpi tidak di pakai,Netral
tiba uang sedot tampa sepengetauhan aplikasih dana ko gin kata nya terlidungi nyata malah nyedot ke balik uang yang sedot,Netral
mau bagus up drama china tidak kata dana tunggu tidak masuk masuk ke aktivitas niat bohong lu aplikasi tidak becus,Positif
sangat buruk masa enggak transaksi via apa fitur ana enggak guna samasekali layan nya enggak selesai masalah buruk super besar uang dana lumayan besar bagi tapi malah buat enggak transaksi apa kaya uang ngendap kali mikir kali kalau mau pakai dana transaksi,Negatif
ini aplikasi banyak banget rusak nya kadang logout sendiri lah ngelag lah jadi tidak nyaman pake nya,Positif
akun dana fitur dana cicil belum keluar padahal bulan pasu minim jt,Positif
mentok logo mulu uninstal,Positif
tidak isi ulang,Positif
buruk bamget knpa akun tidak ke buka,Negatif
dana makin parahhh tidak pernah tanggap serius pegawai nya info kominfo ojk cabut izin nya perlu viralkan media kali lebih baik pakai bank pasti bca mandiri bri,Netral
buruk banget yaa ada uang masuk potong nya lumayan gede aplikasi nya tidak kaya dulu,Negatif
dana cicil nya tidak di pake,Netral
ya dana tidak buat isi pls rewards ny pd hilang semua aneh baharu mlh tidak bener,Negatif
bulan dana tidak di isi,Netral
tidak rekomendasi sebab rusak ponsel asa berat terinstal,Negatif
jelas minta verifikasi mukak bisah bisah nya mintak otp whatsapp tau kartu sama whatsapp sudah tidak aktif mas aja minta,Netral
aplikasi rusak masa tranfer e wallet selalu masalah,Negatif
aplikasi sampah mau liat bagi menu aktivitas eror teross kadang uang kesedott pemberitahuan nyesell gua simpan uang aplikasi ini,Negatif
transfer rekening lho butuh beberapa hari kan aplikasi ege nama tadi aja tidak usah download,Positif
makin tidak karuan aj in aplikasi tagih bayar lunas tapi malah blokir fitur dana cicil nya bulan lebih buat lapor lwt layan email tetap tidak selesai sat telat di telpon ulang hal macam in tidak ad tindak cepat cstmr,Positif
apl tak jelas sandi wajah terimah minta kode otp buat apa kode otp kalau sandi wajah uda terimah sandi wajah salah baru wajar di kirim kode otp,Netral
sering sendiri,Netral
kembali dana yang udh trpotong krn isi pulsa jam lwt td smpe skg transaksi proses notif ny udh bt lapor tidak tanggap kok jd makin buruk pake dana skg tlg sgra tanggap lapor,Netral
buruk untuk tarik uang dana goals verifikasi wajah ada kendala mohon baik hanya guna pin otp,Negatif
tidak di buka sangat buruk,Negatif
dana instan tidak dana pinjam tidak dana cicil tidak punya,Netral
gimna cara nya hapus akun lama soal punya akun hp lama hilang curi daftar ulang pake kartu baru hp tapi tetep tidak pindah akun premium karna ktp nya daftar akun lama buat tugas kalau blokir akun dana lama,Netral
upgrade dana premium lama banget,Netral
aplikasi y kok sering g bsa bukak eror trus to ni,Positif
ya aplikasi macam hanya tutup akun aja ribetnya tengah mati dana bukan satu satu platform akun digital baik dengan saya putus tutup sulit hidup repot,Positif
sering ambil uang orang izin main sedot,Netral
aktifasi dana cicil tidak muncul,Netral
help center dana tidak guna jawab selalu ulang ulang tidak sesuai mohon tanya ana temblek lu,Positif
maaf baik akun di proteksi,Netral
dana makin kesini makin kaga jelas tiba uang ilang potong google ribu,Netral
yaa download tp tidak di install beri tunjuk coba semua tidak juga menginstal aplikasi dana kalau aplikasi atau game dana saja tidak tidak menginstal kata nya bagaimana saya kirim ss aplikasi dana nya tidak dj instal,Netral
guna dana setia hari rutin transaksi dana sudah premium penuh syarat tapi fitur dana cicil koq g kasi,Netral
dana cicil tidak sedia,Netral
aneh lama makek dana tapi aplikasi dana cicil tidak muncul muncul padahal premium sering transaksi,Netral
aktif smarpay dana cicil,Netral
dana tidak transfer solusi ada tidak ni,Netral
aplikasi nya jangan terlalu lambat dikit rusak mulu layar putih aja mau transaksi jadi sulit,Negatif
layan ana tidak ber tanggung jawab siji nomer hilng mau gnti tidak jwbn sama sekali,Netral
knpa akhir aplikasi dana ngg kbuka mesti ng instal trus kalau mau d pke jdi ribet kalau mau ngelakuin transaksi pdhl udh lma pk aplikasi baru akhir ribettt,Netral
aplikasi sampah tiba tiba uang kurang transaksi langgan linkedin padahal tidak langgan apa apa aneh bisa transaksi pake pin bisa pula transaksi langgan arti pin bocor yang download dana pikir mending pake mbanking aplikasi sampah suka bocor pin,Netral
kada kawa download,Netral
bisa aplikasi dana hapus google playstor rugi banget keeonologinya transfer org tiba tiba hilang juta hubung pihak dana nama ana hasil nihil,Negatif
aplikasi sangat bagus,Positif
akun tidak buka mohon solusi,Netral
uang,Netral
akun dana sudah premium tapi kena blokir tiba tiba tabung dana goals tidak tarik dong dana resah banget ya ikan solusi uang masih endap di dana goals,Positif
dana cicil tidak guna di cek tidak pasti,Netral
aplikasi tidak jelas banyak rusak nya,Negatif
dong dana tidak transaksi qris mengapa eror bantu saya tunggu jam tidak apa apa tolong dong langgan saya mau transfer saya tanp qris bagaimana,Netral
buruk sama dana padahal taun taun pake dana tapi tidak ikon dana pinjam ataw dana cicil padahal transaksi sering tidak pernah punya tunggak kan,Negatif
belum dapat dana cicil,Netral
aplikasi tidak jelas darurat kirim uang malah pending si auruh nunggu hari auto hapus aplikasi,Netral
aplikasi tidak pikir customer sama sekali nomer ganti sudah verifikasi masak ngirim nomer lama tidak ingat uang hangus saja pihak dana habya minta maaf tidak mau tanggung jawab cuih,Netral
aju dana cicil kok tidak muncul padahal pake dana tahun rutin transaksi tiap hari,Positif
x uang hilang transaksi tidak pernah laku,Negatif
percuma lapor terus tapi ttep sja dna cicil nya tidak di guna,Netral
kasih bintang satu akun dana verifikasi otp mana nomor sudah ilang kartu tidak aktif ada uang ribu dalam nya kalau dah normal kasih bintang donggg mna dana bisnis nya,Netral
dana balikin uang gua,Netral
dulu mbayar listrik non token pake dana cicil sekarang tidak padahal dana cicil belum pakai,Positif
upded trusss pantes masuk tampa kode aman tidak tau nya mau upded tidak beres dana sering erorr,Positif
sangat sangat buruk hp hilang otomatis kartu hilang tidak masuk hp padahal pin benar tetap minta kode otp kartu hp nya hilang kepada pihak dana segera tanggap keluh konsumen kasihan baru bagus up hp hilang mau masuk hp tidak,Negatif
saya tidak pindah akun nomer lama nomer baru,Netral
ini gimana saya enggak buka dana kendala masalah internet padahal jaring bener stabil lancar,Negatif
tidak pindah akun dana premium ada nomor tidak kenal d akun,Netral
yh tidak muncul dana instan padahal akun lama sering transfer,Netral
buka dana selalu tidak lagi selalu muncul jaring internet putus padahal jaring baik aja ini gimana saya mau narik uang nya tidak lagi,Netral
dana mulai jelasss rugi konsume n di baik gilir masuk minta otp padahal ada aq minta,Negatif
makin kesini aplikasi dana makin buruk beli token uang potong tapi token nggk muncul dalih sistem sibuk coba ulang ulang saja payah,Positif
